Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,,82.86,,,,,,2006
2,Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,10,,40.24,,,,,,1985
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,,,,,,2008
4,PlayerUnknown's Battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,36.6,,,,,,2017
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8,8.8,33.09,,,,,,2009
6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,9.4,,31.38,,,,,,1998
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,,,,,,2006
8,Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,30.26,,,,,,1989
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,,,,,,2009
10,Minecraft,Misc,,PC,Mojang,Mojang AB,10,,30.01,,,,,,2010
11,Duck Hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,28.31,,,,,,1985
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,,,,,,2007
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,,24,,,,,,2010
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,,23.96,,,,,,2005
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,,,,,,2005
16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,9.2,,23.1,,,,,,2000
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,,22.67,,,,,,2008
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8,,21.13,,,,,,2009
19,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,,20.61,,,,,,1991
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,,19.01,,,,,,2006
23,Garry's Mod,Misc,,PC,Unknown,Team Garry,,,18.58,,,,,,2004
24,Super Mario Land,Platform,E,GB,Nintendo,Nintendo R&D1,,,18.14,,,,,,1989
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,,,,,,2011
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,17.67,,,,,,2007
27,Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,Rockstar North,9.5,,17.3,,,,,,2004
28,Super Mario Bros. 3,Platform,E,NES,Nintendo,Nintendo R&D2,,,17.28,,,,,,1990
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,9.7,16.37,,,,,,2013
30,Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,Game Freak,8.8,,16.22,,,,,,2003
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,,,16.15,8.41,5.49,0.47,1.78,2002
32,Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,9,,16.14,,,,,,2016
33,Grand Theft Auto V,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013
34,Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,9,15.64,,,,,,2011
35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015
36,Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,Nintendo EPD,9.3,,15.02,,,,,,2017
37,Counter-Strike: Source,Shooter,M,PC,VU Games,Valve Software,9.3,,15,,,,,,2004
38,Sonic the Hedgehog,Platform,,GEN,Sega,Sonic Team,,,15,,,,,,1991
39,Gran Turismo 3: A-Spec,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,,14.89,,,,,,2001
40,Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8,,14.88,,,,,,2007
41,Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,8.7,,,14.82,9.07,4.29,0.13,1.33,2011
42,Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,8.8,,,14.74,9.76,3.73,0.11,1.14,2010
43,Pokemon Yellow: Special Pikachu Edition,Role-Playing,E,GB,Nintendo,Game Freak,8.7,,14.64,,,,,,1999
44,Halo 3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,,,,,,2007
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,3DS,Nintendo,Game Freak,,,14.17,,,,,,2014
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,,13.94,5.26,6.21,0.21,2.26,2018
47,Call of Duty: Black Ops II,Shooter,M,X360,Activision,Treyarch,,,,13.86,8.27,4.32,0.07,1.2,2012
48,Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012
49,Super Mario Odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,9.9,,13.76,,,,,,2017
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,9.5,9,,13.53,8.54,3.63,0.08,1.28,2009
51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8,,,13.4,4.67,6.21,0.4,2.12,2017
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,,13.35,5.54,5.78,0.49,1.54,2011
53,Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,Project Sora,9.2,9.7,13.29,,,,,,2008
54,Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,9.5,,,13.1,6.99,4.51,0.3,1.3,2001
55,New Super Mario Bros. 2,Platform,E,3DS,Nintendo,Nintendo,7.5,,13.08,,,,,,2012
56,Portal 2,Shooter,E10,PC,Valve,Valve Software,9.7,,13.06,,,,,,2011
57,Minecraft,Misc,E10,X360,Microsoft Studios,Mojang,,,13,,,,,,2013
58,Super Mario Galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.78,,,,,,2007
59,Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,12.72,,,,,,2010
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,,,12.67,6.01,4.4,0.48,1.78,2010
61,Grand Theft Auto V,Action,M,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015
62,Super Mario 3D Land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,8.9,,12.41,,,,,,2011
63,Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,8.6,,12.1,,,,,,2013
64,Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,,,,,,2018
65,Diablo III,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,9,,12,,,,,,2012
66,Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,Nintendo,Game Freak,8.3,,12,,,,,,2004
67,Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,,,,,,2010
68,Super Mario 64,Platform,E,N64,Nintendo,Nintendo EAD,9.7,,11.91,,,,,,1996
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,,11.8,1.27,8.64,0.15,1.73,2017
70,Gran Turismo 4,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,8.7,,11.76,,,,,,2005
71,Animal Crossing: Wild World,Simulation,E,DS,Nintendo,Nintendo EAD,8.5,,11.75,,,,,,2005
72,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,9.9,10,11.68,,,,,,2017
73,Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,Nintendo R&D1,9,,11.18,,,,,,1992
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,10,,,11.09,6.8,3.11,0.14,1.04,2008
75,Super Mario 64 DS,Platform,E,DS,Nintendo,Nintendo EAD,8.6,,11.06,,,,,,2004
76,Terraria,Platform,T,PC,Unknown,Re-Logic,8.8,,11,,,,,,2011
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,,10.94,1.26,7.95,0.12,1.61,2016
78,Gran Turismo,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,,,,,,1998
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,9.5,,,10.61,4.99,3.66,0.38,1.59,2009
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,10,9,,10.57,4.79,3.73,0.44,1.62,2008
81,Super Mario All-Stars,Platform,E,SNES,Nintendo,Nintendo EAD,,9.5,10.55,,,,,,1993
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,6.9,,,10.41,6.76,2.64,0.04,0.98,2013
83,Just Dance 3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.5,,,10.14,5.95,3.13,,1.06,2011
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,,,10.13,4.11,4.01,0.39,1.62,2013
85,Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8,10,,,,,,2017
86,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,E,NS,Nintendo,Game Freak,,,10,,,,,,2018
87,RollerCoaster Tycoon 3,Strategy,E,PC,Atari,Frontier Developments,8.3,,10,,,,,,2004
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,,,9.97,7.08,2.01,0.08,0.8,2010
89,Portal,Shooter,T,PC,Valve Corporation,Valve Software,9,,9.97,,,,,,2008
90,Halo 4,Shooter,M,X360,Microsoft Studios,343 Industries,,,,9.96,6.72,2.36,0.04,0.83,2012
91,Final Fantasy VII,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,,,,,,1997
92,Mario Kart 64,Racing,E,N64,Nintendo,Nintendo EAD,8.5,,9.87,,,,,,1997
93,StarCraft,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,9.5,,,,,,1998
94,Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,Bandai Namco Games,8.4,,9.45,,,,,,2014
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,9.6,9,,9.41,5.98,2.39,0.13,0.91,2007
96,Gran Turismo 2,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,9.2,,9.37,,,,,,1999
97,Wii Party,Misc,E,Wii,Nintendo,"Nd Cube Co., Ltd.",7,,9.32,,,,,,2010
98,Call of Duty: Black Ops IIII,Shooter,M,PS4,Activision,Treyarch,,,,9.32,4.05,3.28,0.5,1.49,2018
99,Mario Party DS,Misc,E,DS,Nintendo,Hudson Soft,7.1,,9.31,,,,,,2007
100,Donkey Kong Country,Platform,E,SNES,Nintendo,Rare Ltd.,9,,9.3,,,,,,1994
101,FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,,,9.15,0.84,6.87,0.1,1.34,2018
102,Rust,Action-Adventure,,PC,Facepunch Studios,Facepunch Studios,6.1,,9.15,,,,,,2018
103,Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,,9,,,,,,2018
104,Half-Life 2,Shooter,M,PC,VU Games,Valve Software,9.7,,8.88,,,,,,2004
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,,8.88,5.1,2.83,0.1,0.85,2011
106,Mario Party 8,Misc,E,Wii,Nintendo,Hudson Soft,6.5,,8.85,,,,,,2007
107,Super Mario Kart,Racing,E,SNES,Nintendo,Nintendo EAD,10,,8.76,,,,,,1992
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9,9,,8.72,4.7,3.25,0.01,0.76,2014
109,Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,9.2,,8.7,,,,,,2016
110,Final Fantasy VIII,Role-Playing,T,PS,Square EA,SquareSoft,9.4,,8.6,,,,,,1999
111,Final Fantasy X,Role-Playing,T,PS2,Square,SquareSoft,9,10,8.6,,,,,,2001
112,Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,Game Freak,8,8.3,8.52,,,,,,2012
113,Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,Infinity Ward,,,,8.48,3.11,3.83,0.19,1.36,2016
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,,8.48,2.91,3.97,0.27,1.34,2015
115,Mario Kart 8,Racing,E,WiiU,Nintendo,Nintendo,8.8,,8.42,,,,,,2014
116,Tekken 3,Fighting,T,PS,Namco,Namco,9.6,,8.3,,,,,,1998
117,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,Game Freak,8.1,,8.28,,,,,,2017
118,Splatoon 2,Shooter,E10,NS,Nintendo,Nintendo EPD,8.2,,8.27,,,,,,2017
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,,,8.22,1.15,5.77,0.07,1.23,2015
120,GoldenEye 007,Shooter,T,N64,Nintendo,Rare Ltd.,9.8,,8.09,,,,,,1997
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,,8.03,3.31,3.19,0.23,1.3,2015
122,FIFA 13,Sports,E,PS3,EA Sports,EA Canada,,,,8.01,1.07,5.13,0.13,1.68,2012
123,Halo 2,Shooter,M,XB,Microsoft Game Studios,Bungie Studios,9.6,,8,,,,,,2004
124,The Sims 3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,8.5,,,7.96,1.01,6.46,,0.5,2009
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,,7.72,2.9,2.83,0.24,1.74,2005
126,Pac-Man,Puzzle,,2600,Atari,Atari,,,7.7,,,,,,1982
127,Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,Game Freak,8.3,8.9,7.6,,,,,,2009
128,The Legend of Zelda: Ocarina of Time,Adventure,E,N64,Nintendo,Nintendo EAD,9.9,10,7.6,,,,,,1998
129,Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,8.6,,,7.58,3.78,2.17,1.31,0.31,1997
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,,7.53,2.84,3.34,0.14,1.22,2014
131,Call of Duty: World at War,Shooter,M,X360,Activision,Treyarch,8.5,7.8,,7.5,4.88,1.91,,0.71,2008
132,Super Mario Bros. 2,Platform,,NES,Nintendo,Nintendo EAD,,,7.46,,,,,,1988
133,Super Mario Galaxy 2,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,,,,,,2010
134,Super Smash Bros. Melee,Fighting,T,GC,Nintendo,HAL Laboratory,9.2,,7.41,,,,,,2001
135,Call of Duty: Black Ops 3,Shooter,M,XOne,Activision,Treyarch,,,,7.37,4.63,2.04,0.02,0.68,2015
136,Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,8.5,,,7.35,4.47,2.12,0.06,0.69,2011
137,The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,,,,,,2006
138,Battlefield 1,Shooter,M,PS4,Electronic Arts,EA DICE,,,,7.26,2.2,3.65,0.29,1.12,2016
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,8.5,,,7.21,2.86,2.94,0.35,1.07,2011
140,Need for Speed Underground,Racing,E,PS2,Electronic Arts,EA Black Box,8.6,,,7.2,3.27,2.83,0.08,1.02,2003
141,The Binding of Isaac,Action,,PC,Edmund McMillen,Edmund McMillen,8.3,,7.17,,,,,,2011
142,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,,,7.13,3.68,1.75,1.42,0.28,1998
143,Pokemon Emerald Version,Role-Playing,E,GBA,Nintendo,Game Freak,7.7,,7.06,,,,,,2005
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,3DS,Nintendo,Level 5,,,7.03,,,,,,2016
145,Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,EA Black Box,8.3,,,6.9,2.71,3.02,0.08,1.09,2004
146,Just Dance 4,Music,E10,Wii,Ubisoft,Ubisoft,,,,6.89,4.05,2.21,,0.62,2012
147,Mario Kart: Double Dash!!,Racing,E,GC,Nintendo,Nintendo EAD,8.5,,6.88,,,,,,2003
148,Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,,6.84,2.77,2.81,0.19,1.06,2011
149,Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,9,,,6.83,2.93,2.75,0.17,0.99,2002
150,Crash Bandicoot,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,,,,,,1996
151,Zumba Fitness,Sports,E,Wii,Majesco,"Pipeworks Software, Inc.",,,,6.76,3.47,2.62,,0.67,2010
152,Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,,6.74,3.28,2.22,0.21,1.02,2009
153,Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,Infinity Ward,9.5,9.6,,6.72,3.13,2.27,0.28,1.04,2007
154,FIFA Soccer 12,Sports,E,PS3,EA Sports,EA Canada,9.2,,,6.65,0.84,4.33,0.11,1.37,2011
155,FIFA 14,Sports,E,PS3,EA Sports,EA Canada,,,,6.61,0.79,4.77,0.07,0.98,2013
156,Red Dead Redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,9.5,,,6.57,2.82,2.58,0.17,1,2011
157,Donkey Kong Country Returns,Platform,E,Wii,Nintendo,Retro Studios,8.6,,6.53,,,,,,2010
158,The Legend of Zelda,Adventure,,NES,Nintendo,Nintendo EAD,,,6.51,,,,,,1987
159,Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,,6.5,2.65,2.61,0.16,1.08,2012
160,Guild Wars,Role-Playing,T,PC,NCSoft,ArenaNet,8.7,,6.5,,,,,,2005
161,Red Dead Redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,9.5,10,,6.5,3.77,2.03,0.09,0.6,2010
162,The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,9,,,6.49,2.57,2.68,0.25,0.99,2011
163,Final Fantasy XII,Role-Playing,T,PS2,Square Enix,Square Enix,9.4,9.5,6.4,,,,,,2006
164,Tomodachi Life,Simulation,E,3DS,Nintendo,Nintendo,7.8,,6.4,,,,,,2014
165,Pokemon Crystal Version,Role-Playing,E,GBC,Nintendo,Game Freak,8.7,,6.39,,,,,,2001
166,Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,Bungie,8.7,,,6.35,4.34,1.34,0.06,0.61,2009
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014
168,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,,,6.32,0.83,4.49,0.05,0.94,2014
169,Kingdom Hearts,Role-Playing,E,PS2,Square EA,SquareSoft,8.5,,6.3,,,,,,2002
170,Street Fighter II: The World Warrior,Fighting,,SNES,Capcom,Capcom,,,6.3,,,,,,1992
171,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,,6.27,2.41,2.57,0.29,0.99,2013
172,Driver,Action,T,PS,GT Interactive,Reflections Interactive,8.5,,,6.27,3.11,2.8,0.02,0.33,1999
173,Call of Duty: WWII,Shooter,M,XOne,Activision,Sledgehammer Games,,,,6.23,3.75,1.91,,0.57,2017
174,God of War (2018),Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,,,6.15,2.83,2.17,0.13,1.02,2018
175,Big Brain Academy,Misc,E,DS,Nintendo,Nintendo EAD,7.7,,6.15,,,,,,2006
176,Minecraft,Misc,E10,PS3,Sony Computer Entertainment America,Mojang,,,,6.05,2.21,2.86,,0.99,2014
177,Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,Konami,Konami Computer Entertainment Japan,9.5,7,,6.05,2.45,2.01,0.87,0.72,2001
178,Metal Gear Solid,Action,M,PS,Konami,Konami Computer Entertainment Japan,9.3,,6,,,,,,1998
179,Myst,Adventure,E,PC,Broderbund,Cyan Worlds,8.9,,6,,,,,,1995
180,Sonic the Hedgehog 2,Platform,,GEN,Sega,Sonic Team,,,6,,,,,,1992
181,Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,Konami,Kojima Productions,9.3,9.8,,6,2.63,1.72,0.83,0.81,2008
182,Euro Truck Simulator 2,Simulation,,PC,SCS Software,SCS Software,8.5,,5.98,,,,,,2013
183,Mario Kart: Super Circuit,Racing,E,GBA,Nintendo,Intelligent Systems,9.3,,5.91,,,,,,2001
184,Super Mario Sunshine,Platform,E,GC,Nintendo,Nintendo EAD,9.2,,5.91,,,,,,2002
185,LittleBigPlanet,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.4,9.2,,5.85,2.8,2.01,0.17,0.87,2008
186,Age of Empires II: HD Edition,Strategy,,PC,Microsoft Studios,Hidden Path Entertainment,,,5.82,,,,,,2013
187,Super Mario 3D World,Platform,E,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,,5.8,,,,,,2013
188,Link's Crossbow Training,Shooter,T,Wii,Nintendo,Nintendo EAD,6.9,,5.79,,,,,,2007
189,Red Dead Redemption 2,Action-Adventure,M,XOne,Rockstar Games,Rockstar Games,,,,5.77,3.76,1.47,,0.54,2018
190,New Super Mario Bros. U,Platform,E,WiiU,Nintendo,Nintendo EAD,8.4,,5.77,,,,,,2012
191,Destiny,Shooter,T,PS4,Activision,Bungie,,,,5.76,2.53,2.13,0.16,0.94,2014
192,Luigi's Mansion: Dark Moon,Adventure,E,3DS,Nintendo,Next Level Games,8.6,,5.75,,,,,,2013
193,Tekken 2,Fighting,T,PS,Namco,Namco,9.1,,,5.74,2.26,1.89,1.36,0.23,1996
194,Uncharted: The Nathan Drake Collection,Action,,PS4,Sony Computer Entertainment,Bluepoint Games,,,,5.7,2.55,2.11,0.1,0.94,2015
195,Super Mario World: Super Mario Advance 2,Platform,E,GBA,Nintendo,Nintendo EAD,9.4,,5.69,,,,,,2002
196,LEGO Star Wars: The Complete Saga,Action,E10,Wii,LucasArts,Traveller's Tales,8,,,5.66,3.57,1.57,,0.52,2007
197,Cooking Mama,Simulation,E,DS,Majesco,Office Create,6.6,,,5.66,3.09,1.92,0.07,0.58,2006
198,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,E10,3DS,Nintendo,GREZZO,9.5,,5.62,,,,,,2011
199,Tetris,Puzzle,,NES,Nintendo,Nintendo,,,5.58,,,,,,1989
200,Super Mario Advance,Platform,E,GBA,Nintendo,Nintendo EAD,8.2,,5.57,,,,,,2001
201,Assassin's Creed II,Action,M,PS3,Ubisoft,Ubisoft Montreal,9,,,5.57,2.54,1.95,0.21,0.86,2009
202,Super Smash Bros.,Fighting,E,N64,Nintendo,HAL Laboratory,8.4,,5.55,,,,,,1999
203,Assassin's Creed,Action,M,X360,Ubisoft,Ubisoft Montreal,8.2,8,,5.55,3.28,1.64,0.07,0.56,2007
204,Batman: Arkham City,Action,T,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,,,5.54,2.72,1.89,0.11,0.82,2011
205,Forza Motorsport 3,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,,5.5,2.99,1.9,0.1,0.51,2009
